time,binary,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10
0,,0.012545883,0.942268933,0.008625968,0.005571684,6.257022295,6.264255441,2.651582977,2.429257672,-0.576534894,0.890224087,0.025202096
1,0,0.322265609,1.007458538,-0.0408351,0.017901186,0.744184402,0.834774654,0.933096872,0.842252976,0.151507592,0.86124036,-0.018575926
2,0,-0.161207576,1.020247885,-0.018719629,0.110164704,1.085391225,0.916011992,0.853181905,0.870384291,-0.409673569,0.751594339,0.03750668
3,0,-0.052996628,0.942275853,0.031895178,-0.035604771,0.544929376,0.597127403,0.70590129,0.484970258,0.215420423,1.114534428,0.058986636
4,0,0.531525634,0.980150928,0.018302871,-0.01542011,0.766968877,0.667784461,1.40671498,1.078468695,0.558710711,0.765320833,0.029650119
5,0,-0.215427597,0.99202055,-0.063678769,-0.022010904,0.325223562,0.323625062,0.594995176,0.415741008,-0.437282336,0.94200545,-0.022560804
6,0,0.496730014,1.163836465,0.006523106,-0.046624911,1.945004505,2.051981274,3.341632264,3.40983585,0.534799386,1.318005194,0.001304467
7,0,0.195481909,0.985967089,0.094322237,0.037307016,0.597383246,0.604197439,1.043899707,1.701522803,0.174172502,0.867571528,0.10201204
8,0,-0.138286634,1.045037442,0.030900113,0.069511022,1.141267703,1.215098696,0.76361062,0.745573378,0.075356089,0.867477219,0.013249546
9,0,0.337158026,1.152116794,-0.018668181,0.010397938,2.668057947,2.69428311,0.801165907,1.016615131,0.297540113,1.101104238,0.024456473
10,0,-0.465369997,1.149296919,0.040666489,0.051729308,1.375828711,1.372681878,0.545809514,0.625771013,-0.209391277,0.963119228,-0.012152436
11,1,0.074404571,0.988798258,-0.031950094,-0.015751149,0.948402001,1.030838121,1.704689163,1.494441941,-0.176189823,0.958069756,0.023358888
12,0,0.21156493,0.874516909,-0.038161896,-0.005232097,0.165922478,0.103205402,1.785357953,1.886974737,0.230885672,0.798697922,-0.006193751
13,0,0.016838961,0.925564931,0.026425888,-0.00488248,2.206664296,2.782782406,1.320870686,1.409446943,-0.268817732,0.84486273,0.007741229
14,0,-0.246321827,0.947880433,-0.008008897,-0.00369685,2.106606708,1.964719816,1.00937048,1.038678043,0.120822454,1.053960123,0.079642531
15,0,-0.062614327,0.938216939,0.04180263,-0.028428422,1.321387161,1.604297645,0.664034872,0.29605361,-0.066943201,1.37052863,0.012296861
16,0,-0.129786695,0.835017111,0.024747312,-0.008971979,1.270456703,1.270951045,0.881203859,1.362427567,-0.209835947,1.087876334,0.015459085
17,0,0.267470847,0.982885899,-0.043570198,-0.010447451,1.776292265,1.414637443,0.664037203,0.616013434,0.330741292,0.954024573,0.039583372
18,0,-0.141023749,1.04980944,-0.046749235,0.054968121,0.5607618,0.592731719,0.922034059,1.039177752,-0.105850268,0.778269309,-0.06898681
19,0,-0.17129925,0.982623363,-0.091501032,0.043359121,0.303338766,0.391579923,0.623753045,0.698547951,-0.343355887,1.217634596,0.04630081
20,1,0.724329475,0.998479176,0.043770532,0.023770309,8.855885861,8.240267412,2.395579649,2.206753453,0.806477395,1.02919155,0.055299941
21,1,0.10257902,1.003623295,-0.001276947,0.002735883,0.237628408,0.170731812,0.866327976,0.733916757,0.305256831,1.386838029,-0.020296029
22,0,0.178293709,0.890797143,0.05249937,0.051076228,2.341028023,2.130026984,3.567003346,3.22817233,0.094114087,0.923399121,0.051902254
23,0,0.470307636,0.929480877,0.01394375,0.011660868,1.056298363,1.060479552,1.518789379,1.234438266,0.824218468,1.073716959,-0.013074885
24,0,-0.010347625,0.915512349,0.042360261,-0.032302536,1.235588344,1.65702803,1.175716507,1.004255971,0.078517483,0.947530829,0.01700255
25,0,0.20824226,0.936436522,0.003390385,0.098101264,5.206179437,5.137679221,1.034937938,1.51134693,0.629568038,0.893376195,0.015399497
26,1,0.397800763,0.958159544,0.025439906,0.057855463,1.24226458,0.746299069,0.764643024,0.58772365,0.588192764,1.135254528,0.010253411
27,1,-0.677269515,1.026274248,0.028892123,0.064894991,0.30984413,0.355262898,0.479706277,0.448371576,-0.865133883,1.443599518,-0.006888959
28,1,0.558079958,1.1130458,-0.033875691,-0.013788779,0.348766773,0.368237672,1.191947405,1.543107648,0.409386572,1.026612965,0.004708826
29,0,0.702563197,1.004389957,-0.039667825,-0.083435367,1.777827862,1.110491239,1.550049041,1.745921308,1.203209395,0.959244858,-0.006645543
30,0,0.055750144,1.118810585,0.029282787,0.072472454,2.748154648,2.832855218,1.089679547,1.438799638,-0.259661106,1.186361496,0.01528564
31,0,-0.15986885,0.962204271,-0.05236394,-0.053174431,0.467847507,0.429373517,0.38184681,0.491709176,-0.409984077,0.92852307,-0.013597057
32,0,-0.098976162,0.990144525,-0.015192019,-0.123575421,2.460275523,2.138377808,0.506552447,0.513965708,-0.275426065,1.014729592,-0.013500231
33,0,-0.00999777,1.042648233,-0.035648641,0.014440542,1.193058277,1.056191344,1.259504785,1.125052364,0.124860549,1.226788841,0.012276672
34,0,-0.118404801,0.980223711,0.028894231,-0.011046623,0.060649979,0.028163519,0.54186919,0.700054362,0.028290819,0.97584783,0.049366925
35,0,0.439306176,1.096329675,0.023546402,-0.063111165,0.762454147,0.782957072,1.966415104,2.287444045,0.147972981,0.999044904,-0.036564622
36,0,0.330110484,1.027912396,0.125638738,-0.142831299,0.793665789,0.700157156,1.172401535,0.856397905,0.609679072,0.862401735,-0.062186284
37,0,0.135762471,0.859593422,0.015111695,0.023617881,3.026235442,3.121713962,0.804701794,1.115249615,0.176651385,0.892834011,0.052182437
38,0,0.581308246,1.043887279,0.044512277,-0.101450746,0.393775956,0.512098719,1.065087985,0.973814197,0.684098743,1.148756162,0.015849281
39,0,0.087310528,0.969983417,-0.010867685,0.017599505,0.098914606,0.155892238,0.659829487,0.615048703,0.157509745,0.759275984,-0.021321811
40,1,-0.479326041,1.048430958,-0.027182641,-0.003698725,1.117594316,1.334933642,0.822763866,0.801335175,-0.627059844,0.800797539,0.001176193
41,0,1.288816615,1.209540601,0.000291099,-0.0044787,1.436942858,1.147951783,5.439116006,5.305599238,1.291746032,0.951535211,0.004365317
42,0,0.24294645,0.856589279,0.079109043,0.012623681,3.990579654,4.427718453,1.786063888,1.700861801,-0.102921135,1.068820768,0.007134402
43,0,0.323317894,0.986690227,0.008707865,0.014782558,2.635867489,2.386638968,1.446952337,0.99421281,0.181523624,0.897190132,0.039456038
44,0,0.053684559,1.008955292,-0.014757853,-0.010395453,0.785073842,0.708902183,0.764482301,0.963841731,-0.048661068,0.892192557,0.012166226
