time,return,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10
0,,-0.256382184,1.139597591,0.047227867,-0.035007069,0.794594295,0.873321471,0.383878848,0.689256835,-0.120157584,0.844915093,0.007763549
1,-0.031238214,-0.247168656,1.092043905,0.044613674,0.004631744,1.089822672,0.91641408,0.978775265,1.046481731,-0.425724236,0.975167785,0.030295677
2,0.011315387,0.598691393,1.083686722,0.051796712,0.006677266,2.141641985,2.169418828,1.911500546,1.696872908,0.736831139,0.849327307,-0.067710409
3,-0.011008671,0.068193803,0.888765527,0.064209421,-0.04386077,4.69242135,5.413171149,0.626249918,-0.040637865,0.248008488,0.660821342,0.001256636
4,-0.029404849,-0.337061754,1.063150847,0.09930779,0.026226332,3.381368367,3.789679658,0.451080511,-0.165431795,0.09224093,0.757867496,-0.015572564
5,-0.002949776,-0.271231671,1.079795658,-0.004193343,0.031730042,2.242458323,3.027831228,0.573905714,0.026883011,-0.558938513,0.850010361,0.003525582
6,0.018382627,0.25547165,0.953718487,-0.042551001,-0.051343696,12.94168547,11.01368074,2.718192814,2.557509561,0.257615026,0.993419989,-0.004061255
7,-0.032184983,0.124190096,0.893436063,-0.057396867,0.00094815,0.309258898,0.278536886,0.837831159,0.926178804,0.402810636,0.790020984,0.057728708
8,-0.002689375,0.536044682,0.923060627,0.000315757,-0.00859479,1.438718482,1.486194315,2.121664909,2.436308949,0.392291421,1.002337495,-0.026672722
9,0.012453967,0.622077678,0.8478099,0.033494752,-0.200982515,1.156232317,0.751838786,1.960700534,1.797584552,0.510994921,0.785956392,-0.008763568
10,0.00430441,0.357353909,0.960260116,-0.027142865,-0.044257616,1.193437037,0.617077682,1.070027322,0.86428659,0.381546587,0.74897814,0.042583049
11,-0.025460046,-0.068076956,0.944360401,-0.0083248,0.006854393,0.558526792,0.590964924,1.183154543,1.136268772,-0.443996668,1.13806088,0.059585667
12,0.030884981,-0.172750097,1.204079198,-0.000944243,-0.014705456,0.215411612,0.225711159,0.442288254,0.164127534,-0.262097666,0.872254644,0.028480506
13,-0.003307597,0.190849392,1.109509397,0.027343622,0.013289035,2.183593181,2.682996461,1.758260128,1.772679151,0.193860283,1.237681898,0.040736247
14,0.038329169,0.5614731,0.953988099,-0.04220067,-0.213582097,1.665252036,1.616843148,3.2190915,3.580369477,0.124536717,1.067887634,0.037564655
15,-0.011878082,0.493363547,1.093543333,-0.000993061,0.031022605,2.014502582,2.91120858,1.458783746,1.262519986,0.584036907,1.221319031,-0.002977344
16,0.030425181,-0.193352412,0.973495341,0.025475342,-0.115726104,0.427771166,0.398313979,0.555873543,0.529807113,-0.414722345,1.07584779,-0.012439356
17,0.018112125,0.129013901,0.982311768,0.007194729,-0.028307458,1.374456347,1.155606146,0.820725806,0.351713907,0.386745047,1.177319603,0.03055298
18,-0.00455869,-0.139978515,1.063798126,-0.019781897,0.310537355,1.339701108,1.18591844,1.403526498,1.641229381,0.135372616,0.985705205,0.106969881
19,-0.020384497,-0.474822641,1.058737036,0.021943826,-0.082140705,1.938920793,2.431842402,0.55465374,0.508636861,-0.817678029,1.168045639,0.038701984
20,-0.032599975,0.371184703,0.993261807,-0.037410034,-0.010623785,0.64764221,0.755558775,3.431191788,3.646286524,0.235492706,0.826491226,0.054787129
21,-0.031457321,-0.210910488,0.977656797,-0.04659579,0.055004249,0.817369153,0.556821133,0.354328933,0.047838333,-0.216436693,1.180022273,0.075036969
22,0.062189634,0.489668374,0.916975889,-0.117449674,0.104225695,0.374277258,0.321061096,1.535538325,1.714992781,0.242192099,1.286345574,-0.051590348
23,0.000438462,-0.306840896,0.979666641,0.031625662,0.055426362,0.896638218,1.069934312,0.959828442,0.677563182,-0.273145529,0.986255501,-0.01229728
24,0.003167351,-0.147366955,1.028998082,0.00803076,0.02553523,1.060011932,1.37146379,0.345253381,0.457557798,0.037052936,1.0474542,0.028576224
